-92,26,-157
-92,26,-156
-93,25,-157
-92,28,-155
-91,27,-157
-93,25,-156
-91,22,-159
-92,23,-158
-97,22,-157
-98,19,-150
-98,9,-152
-99,7,-151
-101,6,-151
-98,0,-157
-99,-12,-161
-99,-14,-157
-97,-15,-155
-98,-17,-152
-107,-27,-155
-105,-31,-157
-104,-41,-166
-98,-43,-164
-100,-46,-160
-114,-40,-171
-111,-42,-182
-122,-19,-152
-74,-101,-173
-40,-72,-224
-104,16,-179
-64,-68,-103
195,41,-156
35,-142,-122
-7,-93,-157
-38,-74,-111
28,-140,-129
87,-90,-155
-2,-97,-129
-5,-226,-92
15,-71,-133
82,-66,-189
20,-96,-147
7,-75,-120
10,-108,-136
20,-116,-147
0,-87,-144
8,-118,-128
-20,-216,-109
-25,-103,-154
9,-118,-182
44,-140,-191
94,-63,-160
51,-55,-62
24,-67,-82
70,-77,-147
177,-108,-191
23,-108,-120
1,-86,-79
75,-108,-74
140,-56,-198
7,39,-96
-92,-112,-204
-8,-69,-130
-72,-43,-243
132,-12,-196
60,-184,-55
56,-60,-142
82,-86,-159
84,-80,-83
74,-69,-100
60,-62,-144
121,-70,-160
50,-40,-94
3,-70,-126
-8,-62,-113
-94,-136,-10
24,-37,-172
-89,-20,-266
-93,-72,-135
-54,-79,-117
-114,-80,-113
-87,-66,-125
-126,-58,-171
-30,-53,-192
49,-28,-204
36,-32,-134
26,-86,-122
134,-28,-95
167,0,-142
125,-54,-114
130,-17,-112
103,-17,-129
73,26,-106
99,17,-116
89,-55,-128
71,36,-107
95,41,-121
89,-2,-116
76,38,-110
98,21,-123
30,79,-108
109,-3,-130
88,72,-111
46,91,-101
78,38,-111
52,70,-110
38,88,-104
83,30,-115
47,87,-105
-33,71,-109
17,105,-101
60,47,-115
14,109,-107
-14,107,-105
19,82,-102
-13,101,-108
16,99,-106
-11,94,-102
6,115,-104
-4,99,-102
2,100,-102
0,102,-103
-2,92,-103
0,101,-103
-2,99,-103
-1,98,-102
-1,110,-103
0,87,-104
0,109,-103
1,102,-103
0,94,-103
-1,94,-105
1,96,-104
-1,94,-103
1,101,-104
0,98,-104
0,99,-104
0,102,-104
0,99,-103
-1,102,-104
0,103,-103
-1,101,-103
0,104,-103
-1,98,-103
-1,100,-103
0,99,-105
-1,96,-104
1,99,-104
0,98,-104
1,91,-103
1,91,-104
0,91,-104
1,98,-102
0,102,-102
0,99,-102
0,103,-102
0,105,-103
0,102,-103
0,105,-104
0,103,-104
1,103,-104
-1,110,-104
2,112,-104
-2,95,-106
0,106,-105
1,113,-104
-1,105,-105
1,108,-106
-1,99,-105
1,97,-105
0,96,-106
0,95,-105
2,99,-106
1,99,-106
1,98,-105
1,103,-107
1,105,-105
2,105,-104
0,102,-103
-1,95,-103
0,98,-102
-1,106,-102
0,103,-101
0,99,-101
0,98,-103
0,94,-103
-1,89,-105
0,91,-106
0,92,-106
0,100,-105
0,105,-104
1,119,-102
1,118,-102
1,115,-102
0,98,-104
-1,96,-105
-2,92,-105
-1,99,-103
0,105,-103
0,99,-105
0,94,-104
0,94,-106
1,97,-106
3,107,-104
1,106,-104
1,102,-104
-1,94,-105
-2,91,-106
-1,91,-105
-1,99,-105
0,104,-103
0,103,-103
-1,101,-103
0,100,-102
1,100,-103
1,98,-103
0,97,-104
1,100,-104
1,103,-103
2,107,-103
1,106,-102
1,103,-103
0,99,-103
-1,90,-104
0,96,-104
0,102,-104
2,127,-101
-1,103,-103
-4,83,-106
-4,94,-105
-3,97,-105
0,104,-107
1,102,-107
1,93,-109
2,94,-111
3,109,-109
1,108,-109
0,104,-105
2,122,-102
1,94,-101
3,141,-98
1,108,-97
-2,91,-99
2,116,-98
-2,74,-105
9,124,-99
12,117,-101
7,106,-105
3,95,-108
2,92,-106
0,93,-105
1,104,-99
5,110,-99
25,57,-96
-13,150,-118
11,87,-100
11,110,-100
-17,79,-66
224,-483,-375
